链接,中药名,别名,英文名,产地分布,性味归经,功效与作用,临床应用,图片,形态,使用禁忌
http://www.zhongyoo.com/name/wujiuzi_692.html,乌桕子,乌桕种子、乌茶子、桕子、琼子,无,生于郊野、路边、溪边、低山杂木林中；也有栽培。分布于广东、广西、江苏、山东、安徽、江西等地。,凉，味甘。归肾经、肺,杀虫、利水、通便。属杀虫止痒药。,用量3～5克，水煎服，外用适量，煎水洗或捣烂敷患处。外用可治脓疮、疥癣、湿疹、皮肤皲裂。内服可与逐水攻下药配伍用于水肿、便秘。,http://www.zhongyoo.com//uploads/allimg/2111/1-211112223542559.jpg,落叶乔木，高3～15米。树皮灰褐色，深纵裂，皮孔细点状；枝细长，灰白色。叶互生；叶片纸质，菱形至菱状卵形，长宽3～9厘米，顶端骤尖或尾状长尖，基部宽楔形或近圆形，全缘，上面绿色，稍有光泽，下面初时粉白色，后渐变黄色，秋时变红赭色；叶柄长2～7厘米，上部接近叶片基部具2圆形腺体。花单生，雌雄同株，无花瓣及花盘，穗状花序顶生，初时全部为雄花；后于花序基部生1～4朵雌花；雄花小，萼杯状，3浅裂，雄蕊2，稀3，花丝分离；雌花具短梗，着生处两侧各有近肾形腺体1，花萼3深裂，子房光滑，3室，花柱3。蒴果木质梨状球形，具尖头。种子近圆形黑色，外被白色蜡层。花期6～7月，果期10～11月。,老弱体虚、孕妇及胃溃疡病患者忌服。有毒，中毒症状为恶心、呕吐、腹痛、腹泻等，严重者尚可出现四肢发麻、口唇发麻、面色苍白，心慌、胸闷等
http://www.zhongyoo.com/name/yidianhong_13431.html,一点红,红背叶、叶下红、羊蹄草、红背中、土公英,Eiliae Herba,常生于山野、村边、路旁、田洼或旷野草地上。主产于广东、广西、福建、贵州、云南、湖南、江西等地。,凉，味苦。归肺经、胃经、大肠经,清热解毒，消炎，利尿。属清热药下分类的清热解毒药。,15～30克；外用适量，鲜品捣烂敷患处。用于肠炎、痢疾、尿路感染、上呼吸道感染、结膜炎、口腔溃疡、疮痈。,http://www.zhongyoo.com//uploads/allimg/2111/1-21110R1291AL.jpg,一年生或多年生草本，高10～50厘米。茎直立，无毛或被疏毛，时有分枝。叶稍带肉质，茎下部叶片卵形，琴状分裂或具钝齿，长4～9厘米，上部叶较小，常抱茎，叶面绿色，叶背常紫红色。头状花序，长12～15毫米，具长柄，花枝通常二歧分枝，总苞绿色，圆柱状，基部稍膨大，苞片1列，约与花冠等长；花紫色，全为管状花，花冠顶端5齿裂。瘦果圆柱形，长约4毫米，有棱，冠毛白色，柔软。花期冬末至春初。,过量使用易导致氢氰酸中毒
http://www.zhongyoo.com/name/zuiyucao_616.html,醉鱼草,鱼尾草、醉鱼儿草、樚木、闹鱼花、痒见消、四方麻、阳包树、鱼鳞子、药杆子、驴尾草、羊尾巴、防痛树、鸡公尾、毒鱼藤、鲤鱼花草、药鳗老醋、野巴豆、老阳花、萝卜树子、药鱼子、土蒙花、花玉成、四棱麻、羊饱药、羊白婆、金鸡尾、洞庭草、白皮消、铁帚尾、红鱼波、红鱼皂、铁线尾、四季青、白袍花、糖茶、水泡木、雉尾花、楼梅草、鱼泡草、鱼藤草、洋波、鱼背子花、一串花、狗头鹰、红鱼鲄、鱼白子花、野刚子、鱼尾子、鱼花草、毒鱼草,无,生于山坡、溪边的灌丛中，亦有栽培以供观赏。分布于长江以南大部分地区。,温，味苦、辛。有小毒,止咳定喘，活血祛瘀，驱虫。属驱虫药。,用量10～30克，水煎服。鲜草量可酌情加大。临床上可用于治疗感冒、咳嗽、哮喘以及跌打损伤，外伤出血。还可治疗钩虫病。,http://www.zhongyoo.com//uploads/allimg/2111/1-21110H0132BJ.jpg,落叶灌木，高1～3米，树皮茶褐色。小枝具四棱而略带翼状，幼时密被黄色星状毛及鳞片。叶对生，椭圆形或卵状披针形，长3～10厘米，宽1.5～3厘米，纸质，先端尖，基部楔形或钝圆，全缘或有疏锯齿，幼时背面密被黄绿色星状毛及鳞片。花序穗状，直立，长7～20厘米;花萼、花冠4裂，均有鳞片;花冠紫色，稍弯曲，冠筒内面白紫色，具细柔毛;雄蕊4，花丝极短，着生于花冠筒下部;子房上位，2室。蒴果矩圆形，被鳞片。种子无翅。花期4～8月，果期10～11月。,本种花叶有毒，如服用过量会引起头晕、呕吐、呼吸困难、四肢麻木和震颤
http://www.zhongyoo.com/name/tiewan_5946.html,铁苋,铁苋菜、六合草、血见愁、喷水草、人苋、海蚌含珠、撮斗撮金珠、半边珠、野黄麻、小耳朵草、痢疾草、猫眼草、茶丝黄、沙罐草、灯盏窝、田螺草、血布袋、七盏灯,Herba Acalyphae,生于旷野、丘陵、路边较湿润的地方。分布于长江、黄河中下游各地及东北、华北、华南、西南各地及台湾。,凉，味苦、涩。归心经、肺经、大肠经、小肠经,清热利湿，凉血解毒，消积。属止血药下属分类的凉血止血药。,内服：煎汤，10～15克；鲜品30～60克。外用：适量，水煎洗或捣敷。主治痢疾，泄泻，吐血，衄血，尿血，便血，崩漏，小儿疳积，痈疖疮疡，皮肤湿疹。,http://www.zhongyoo.com//uploads/allimg/2111/1-21110G5535X61.jpg,一年生草本，高30～50厘米。茎直立，分枝，被微柔毛。叶互生；叶柄长2～5厘米；叶片卵状菱形或卵状椭圆形，长2～7.5厘米，宽1.5～3.5厘米，先端渐尖，基部楔形或圆形，基出脉3条，边缘有钝齿，两面均粗糙无毛。穗状花序腋生；花单性，雌雄同株；通常雄花序极短，长2～10毫米，生于极小苞片内；雌花序生于叶状苞片内；苞片展开时肾形，长1～2厘米，合时如蚌，边缘有钝锯齿，基部心形；花萼四裂；无花瓣；雄蕊7～8枚；雌花3～5朵；子房被疏柔毛，3～4室；花柱羽状分裂至基部。蒴果小，三角状半圆形，被粗毛；种子卵形，长约2毫米，灰褐色。花期5～7月，果期7～10月。,老弱气虚者慎服，孕妇禁服
http://www.zhongyoo.com/name/bajiaolian_12591.html,八角莲,八角连、金魁莲、旱八角、叶下花、一把伞、马眼莲、独叶一枝花、八角盘、六角莲、独脚莲、独角莲、八角金盘、山荷叶,Rhizoma dysosmatis,生于山谷山坡杂木林中阴湿地方。陕西、安徽、浙江、江西、福建、台湾、湖北、湖南、广西、广东、四川、贵州、西藏等省区。,凉，味苦、辛，有毒。归肺经、肝经,化痰散结，祛瘀止痛，清热解毒。属拔毒生肌药。,用量：水煎服，3～9克；外用，捣敷或磨涂、醋调敷患处。主治咳嗽、咽喉肿痛、瘰疬、瘿瘤、痈肿、疔疮、毒蛇咬伤、跌打损伤，痹证。,http://www.zhongyoo.com//uploads/allimg/1805/1-1Q1211S523462.jpg,：多年生草本，植株高40～150厘米。根状茎粗状，横生，多须根；茎直立，不分枝，无毛，淡绿色。茎生叶2枚，薄纸质，互生，盾状，近圆形，直径达30厘米，4～9掌状浅裂，裂片阔三角形，卵形或卵状长圆形，长2.5～4厘米，基部宽5～7厘米，先端锐尖，不分裂，上面无毛，背面被柔毛，叶脉明显隆起，边缘具细齿；下部叶的柄长12～25厘米，上部叶柄长1～3厘米。花梗纤细、下弯、被柔毛；花深红色，5～8朵簇生于离叶基部不远处，下垂；萼片6，长圆状椭圆形，长0.6～1.8厘米，宽6～8毫米，先端急尖，外面被短柔毛，内面无毛；花瓣6，勺状倒卵形，长约2.5厘米，宽约8毫米，无毛；雄蕊6，长约1.8厘米，花丝短于花药，药隔先端急尖，无毛；子房椭圆形，无毛，花柱短，柱头盾状。浆果椭圆形，长约4厘米，直径约3.5厘米。种子多数。花期3～6月，果期5～9月。：叶通常2片，对生，叶片长圆形或近圆形，6～9浅裂，裂片宽三角状卵形。花生于两茎生叶柄交叉处。：茎多汁，基部被棕色大鳞片。叶互生，纸质，2片；叶片圆形，直径约20厘米，6-8掌状深裂几达中部，裂片楔状矩圆形，先端常3裂，小裂片三角形，叶中部红棕色，下面叶脉有蔬柔毛，后变无毛。花2-6朵，丛生于茎顶叶柄分叉处的腋间。花期4～6月，果期8-10月。,孕妇禁服，体质虚弱者慎服
http://www.zhongyoo.com/name/haima_1336.html,海马,龙落子、水马、马头鱼、龙落子鱼、鰕姑、对海马,无,5种海马均生活于近海茂盛的水域中。线纹海马、刺海马和三斑海马分布于东海及南海，大海马分布于南海，小海马在我国各海域均有分布。,温，味甘、咸。归肝经、肾经,温肾壮阳、散结消肿。属补虚药下属分类的补阳药。,用量3～9克，煎服、或入丸、散；外用适量，研末敷患处。用治阳痿、遗尿、肾虚作喘、癥瘕积聚、跌扑损伤；外治痈肿疔疮。,http://www.zhongyoo.com//uploads/allimg/140309/1-1403091529502E.jpg,线纹海马：体长30～33厘米。体侧扁，腹部凸出。躯干部七棱形；尾部四棱形，卷曲。头冠短小，尖端有5个短小的棘，略向后弯曲，前方有板状隆起物。吻细长管状。眼较大，侧位而高，有明显眼棘。口小，端位，无牙。鳃盖突出，无放射状纹。肛门位于躯干第11节下方。体无鳞，为骨环所包。无腹鳍及尾鳍。全体淡黄白色，体侧有白色线状斑点。其余4种与线纹海马近似。,孕妇及阴虚阳亢者禁服
http://www.zhongyoo.com/name/jiujiechangpu_13419.html,九节菖蒲,小菖蒲、外菖蒲、节菖蒲、鸡爪莲,Rhizoma Anemones Altaicae,生于海拔1200～1800米的山地沟谷边或灌木丛中。分布于山西南部、河南西部、湖北西北部、陕西南部。,温，味辛。归心经、肝经、胃经,开窍化痰，醒脾安神。属开窍药。,内服：煎汤，1.5～6克；或入丸、散；或鲜品捣汁服。外用：煎水洗；或鲜品捣敷；或研末调敷。用于热病神昏，癫痫，耳鸣耳聋，胸闷腹胀，食欲不振；外治痈疽疮癣。,http://www.zhongyoo.com//uploads/allimg/2109/1-210Z5111550348.jpg,多年生草本，高11～23厘米。根茎横生，圆柱形，长约4厘米，直径2～4毫米，节间长3～5毫米，有许多须根。叶柄长4～10厘米，无毛；三出复叶，叶片轮廓宽卵形，长2～4厘米，3全裂，中央全裂片又3裂，边缘有缺刻状牙齿，有细柄，侧生全裂片不等2全裂。花葶1，苞片3，轮生，叶状，中上部边缘有不整齐锯齿，具柄。花两性，单朵顶生；花梗长2. 5～4厘米，被灰色柔毛；萼片7～10，花瓣状，白色，倒卵形或长圆形，长1.5～2厘米，宽3.5～7毫米，先端圆；花瓣无；雄蕊多数；心皮20～30。瘦果卵球形，有白色柔毛。花期3～5月，果期4～7月。,阴虚阳亢、烦躁汗多、精滑者慎服
http://www.zhongyoo.com/name/huangchi_788.html,黄芪,黄耆、木耆、绵黄芪、王孙、箭芪、戴糁、戴椹、独椹、芰草、蜀脂、百本、百药绵、独根,Astmgali Radix。,蒙古黄芪生于向阳草地及山坡；膜荚黄芪生于林缘、灌丛、林间草地及疏林下。分布于黑龙江、吉林、辽宁、河北、内蒙古等地。,微温，味甘。归脾经、肺经, 补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌。属补虚药下属分类的补气药。,用量9～30克，煎汤内服；或入丸、散、膏剂。治疗气短心悸、乏力、虚脱、自汗、盗汗、体虚浮肿、慢性肾炎、久泻、脱肛、子宫脱垂、痈疽难溃、疮口久不愈合、小儿支气管哮喘、慢性乙型肝炎、慢性肾炎和病毒性心肌炎。补气宜炙用，止汗、利尿、托毒排脓生肌宜生用。,http://www.zhongyoo.com//uploads/allimg/130717/1-130GG5220W54.jpg,蒙古黄芪：多年生草本。主根长而粗壮，条较顺直。奇数羽状复叶，小叶12～18对，小叶片下面被柔毛。总状花序腋生，花冠黄色至淡黄色，雄蕊10枚，二体。荚果膨胀，无毛。膜荚黄芪：形态上和上种极相似，主要区别为小叶6～13对，小叶片卵状披针形或椭圆形，长7～30毫米，宽4～10毫米；花冠淡黄色，长不及2厘米，子房被疏柔毛。荚果卵状长圆形，长2～2.5厘米，先端有喙，被黑色短毛。,表实邪盛、湿阻气滞、肠胃积滞、阴虚阳亢、痈疽初起或溃后热毒尚盛者，均禁服
http://www.zhongyoo.com/name/fangfengcao_46.html,防风草,广防风、土防风、抹草、秽草、落马衣、假紫苏、马衣叶、豨莶草、四方茎、臭草、臭苏头、鸭儿蔑、大篾草、大羊古骚,Epimeredi Indian Herb,野生于路旁、荒地、村边草丛中。分布于广东、广西、云南、贵州等地。,温，味辛、苦。归膀胱经、肝经、肾经,祛风、除湿、解毒、止痛。属解表药下属分类的辛温解表药。,用量9～15克，煎服；外用适量，煎洗或捣敷。用治感冒身热、呕吐、腹痛、筋骨疼痛、疮疡、湿疹。,http://www.zhongyoo.com//uploads/allimg/2110/1-2110302020391D.jpg,一至二年生直立草本，高1～2米。茎方形，多分枝，密被白色茸毛。叶对生，草质，阔卵形至卵形，先端渐尖或短尖，边缘有不规则的齿，基部近圆形，两面均有茸毛，具细小腺点。花轮生，下部为腋生，上部可排到顶端而成长总状花序；萼管状，5裂，裂片三角状披针形，内外均有短毛；花冠管状，粉红色，2唇，5裂齿，上唇直立，全缘，下唇阔，扩展，内面有短毛；雄蕊4，突出，花药连贴；雌蕊1，柱头2裂。小坚果圆形，黑褐色，平滑。花期9～10月，果期12月至翌年1月。,尚不明确
http://www.zhongyoo.com/name/doukou_43.html,豆蔻,白豆蔻、白蔻、圆豆蔻、白蔻仁、多骨、壳蔻、扣米,Amomi Fructus Rotundus,生于沟谷或林下阴湿处。我国多栽培于疏林或阴棚下。原产于印度尼西亚。现我国海南有栽培。,温，味辛。归脾经、胃经,化湿消痞、行气温中、开胃消食。属化湿药。,用量3～6克，入煎剂宜后下；或入丸、散。用治湿浊中阻、不思饮食、湿温初起、胸闷不饥、寒湿呕逆、胸腹胀痛、食积不消。,http://www.zhongyoo.com//uploads/allimg/131101/1-13110111221EJ.jpg,多年生丛生草本。根茎匍匐，粗壮。叶2列，叶鞘边缘纸质或膜质，无毛；叶舌先端圆形，无毛；几无叶柄；叶片披针形，先端尾尖，基部楔形，两面无毛。花序从根茎上抽出，常半掩于土中；花序倒卵形至倒锥形，土黄色，先端圆形至平截；苞片椭圆形，纸质，边缘较薄，有疏长柔毛，表面有内凹的纵细脉10～15条，先端钝；花着生于苞腋；小苞片白色，管状；萼管状，白色，外被微毛，先端3齿裂；花冠管较萼管略长，白色，狭椭圆形；唇瓣长圆形至倒卵形，白色，先端圆形或近平截，中肋略加厚，先端常呈橘黄色；侧生退化雄蕊，钻状；花丝宽而有沟，药隔附属物3裂；蜜腺2，半圆柱形；子房下位，被毛。蒴果土黄色或间有棕红色，近球形，有3棱，被柔毛，先端钝尖，花被宿存。种子多角形，棕红色，芳香。花期全年，盛花期4～6月，果期7～8月。,阴虚血燥者禁服
