链接,名字,组成,用法,功效,主治
http://www.zhongyoo.com/fangji/xfdzt_555.html,旋覆代赭汤,配方组成旋覆花三两(9克)；人参二两(6克)；生姜五两(15克)；代赭石一两(9克)；甘草炙，三两(6克)；半夏洗，半升(9克)；大枣擘，12枚(4枚)。,用法用量以水一斗，煮取六升，去滓，再煮取三升，温服一升，日三服。现代用法：水煎服。,降逆化痰，益气和胃。, 胃虚痰阻证。噫气频作，心下痞，反胃呕吐，吐涎沫，舌苔白滑，脉弦而虚。
http://www.zhongyoo.com/fangji/xfzyt_554.html,血府逐瘀汤,配方组成桃仁四钱(12克)，红花三钱(9克)，当归三钱(9克)，生地黄三钱(9克)，川芎一钱半(5克)，赤芍二钱(6克)，牛膝三钱(9克)，桔梗一钱半(5克)，柴胡一钱(3克)，枳壳二钱(6克)，甘草一钱(3克)。,用法用量水煎服。每日1剂，分早、晚2次温服。,活血祛瘀，行气止痛。,胸中血瘀证。胸痛，头痛日久不愈，痛如针刺而有定处，或呃逆日久不止，或内热烦闷，或心悸失眠，烦躁易怒，或人暮潮热，唇暗或两目暗黑，舌质暗红或有瘀斑，脉涩或弦紧。
http://www.zhongyoo.com/fangji/xjyz_553.html,小蓟饮子,配方组成生地黄，洗，四两(30克)；小蓟半两(15克) ；滑石半两(15克)；蒲黄半两(9克)；藕节半两(9克)；淡竹叶半两(9克)；当归酒浸，半两(9克)；山栀子半两(各9克)；木通半两(6克)；炙甘草半两(6克)。,用法用量上呚咀，每服四钱(12克)，水一盏半，煎至八分，去滓温服，空心食前。现代用法：作汤剂，水煎服。,凉血止血，利水通淋。,血淋、尿血。尿中带血，小便频数，赤涩热痛，舌红，脉数有力。
http://www.zhongyoo.com/fangji/xfs_552.html,消风散,配方组成当归、生地黄、防风、蝉蜕、知母、苦参、胡麻仁、荆芥、苍术、牛蒡子、石膏各一钱(各6克)，甘草、木通各五分(各3克)。,用法用量水二盅，煎八分，食远服。现代用法：水煎服。,疏风止痒，清热除湿。,风疹、湿疹。皮肤疹出色红，或遍身云片斑点，瘙痒，抓破后渗出水液，苔白或黄，脉浮数。
http://www.zhongyoo.com/fangji/xcht_551.html,小柴胡汤,配方组成柴胡半斤(24克)；黄芩三两(9克)；人参三两(9克)；半夏半升，洗(9克)；甘草三两，炙(6克)；生姜三两，切(9克)；大枣十二枚，擘(4枚)。,用法用量上七味，以水一斗三升，煮取六升，去滓，再煎，取三升，温服一升，日三服。现代用法：水煎服。,和解少阳。,
http://www.zhongyoo.com/fangji/xxxt_549.html,小陷胸汤,配方组成黄连一两(6克)；半夏洗，半升(12克)；瓜蒌实大者一枚(20克)。,用法用量上三味，以水六升，先煮瓜蒌，取三升，去滓，内诸药，煮取二升，去滓，分温三服。,清热化痰，宽胸散结。,痰热互结证。胸脘痞闷，按之则痛，或咳嗽痰黄稠，口苦，舌苔黄腻，脉滑数。
http://www.zhongyoo.com/fangji/yht_550.html,阳和汤,配方组成熟地黄一两(30克)；白芥子炒，研，二钱(6克)；鹿角胶三钱(9克)；肉桂去皮，研粉，一钱(3克)；麻黄五分(2克)；姜炭五分(2克)；生甘草一钱(3克)。,用法用量水煎服，每日1剂，日服2次。,温阳补血，散寒通滞。,阴疽。患处漫肿无头，皮色不变，酸痛无热，口不渴，舌淡苔白，脉沉细或沉迟；或脱疽、贴骨疽、流注、鹤膝风、痰核、瘰疬等属于阴证者。
http://www.zhongyoo.com/fangji/xss_548.html,杏苏散,配方组成苏叶、杏仁、半夏、茯苓、前胡各9克，陈皮、桔梗、枳壳各6克，甘草3克，生姜3片，大枣3枚(原书未注用量)。,用法用量水煎温服，一日一剂。,轻宣温润，止咳化痰。,外感凉燥证。恶寒无汗，头微痛，咳嗽痰稀，鼻塞咽干，苔薄白，脉浮弦。
http://www.zhongyoo.com/fangji/sxt_547.html,桑杏汤,配方组成桑叶一钱(3克，)杏仁一钱五分(4.5克)，沙参二钱(6克)，象贝(浙贝)一钱(3克)，香豉一钱(3克)，栀皮一钱(3克)，梨皮一钱(3克)。,用法用量水二杯，煮取一杯，顿服之，重者再作服。桑杏汤现代用法：水煎服。,轻宣温燥，润肺止咳。,外感温燥证。发热头痛，咽干口渴，干咳无痰，或痰少而黏，舌红，苔薄白而燥，脉浮数。
http://www.zhongyoo.com/fangji/ynj_545.html,玉女煎,配方组成石膏三至五钱(15～30克)；熟地黄三至五钱或一两(9～30克)；麦冬二钱(6克) ；知母牛膝各一钱半(各5克)。,用法用量上药用水一盅半，煎七分，温服或冷服。现代作法：水煎服。,清胃热，滋肾阴。,胃热阴虚证。头痛牙痛，牙齿松动，齿龈出血，烦热口渴，舌红苔黄而干，脉浮洪滑大，重按无力。亦治消渴，消谷善饥等。
http://www.zhongyoo.com/fangji/jksqw_9047.html,金匮肾气丸,配方组成干地黄240克、山茱萸120克、山药120克、泽泻90克、茯苓90克、牡丹皮90克、桂枝30克、附子30克。,用法用量制成蜜丸，每次服15丸(6克，可加至25丸(10克)，酒送下，每日2次。临床应用可改为汤剂，水煎服，每日2次，各药剂量按比例酌减至汤剂常用量。,补肾助阳。,主治肾阳不足证，症见腰酸脚软，少腹拘急.小便不利或小便清长，烦热不得卧而反倚息，舌质淡而胖，脉虚弱。
http://www.zhongyoo.com/fangji/yqs_544.html,银翘散,组成金银花一两(30克)，连翘一两(30克)，桔梗六钱(18克)，薄荷六钱(18克)，竹叶四钱(12克)，生甘草五钱(15克)，荆芥穗四钱(12克)，淡豆豉五钱(15克)，牛蒡子六钱(18克)。,用法上杵为散。每服六钱(18克)，鲜苇根汤煎，香气大出，即取服，勿过煎。肺药取轻清，过煎则味厚入中焦矣。病重者，约二时一服，日三服，夜一服；轻者，三时一服，日二服，夜一服；病不解者，作再服。现代用法：作汤剂，水煎服，用量按原方比例酌定。亦可作丸剂或散剂服用。,辛凉透表，清热解毒。,温病初起。发热无汗，或有汗不畅，微恶风寒，头痛口渴，咳嗽咽痛，舌尖红，苔薄白或薄黄，脉浮数。
