链接,药名,处方,功能主治,用法用量,图片
http://www.zhongyoo.com/zhongchengyao/djw_6773.html,调经丸,当归、白芍(酒炒)、熟地黄、川芎、阿胶、白术(炒)、茯苓、甘草、半夏(制)、香附(醋制)、陈皮、牡丹皮、延胡索(醋制)、没(制)、益母草、艾叶(炭)、小茴香(盐炒)、吴茱萸(制)、续断、黄芩(酒炒)、麦冬,理气和血，调经止痛。用于气郁血滞，月经不调，经来腹痛。,口服。每次1丸，每日2次，温开水送服。,http://www.zhongyoo.com//uploads/allimg/1610/2-161006231345427.jpg
http://www.zhongyoo.com/zhongchengyao/jgcgykl_8884.html,鸡骨草肝炎颗粒,鸡骨草、茵陈、地耳草、鸭脚艾、鹰不泊、桃金娘根,舒肝，清热，利湿，祛黄。用于黄疸型和无黄疽型急性传染性肝炎。,口服。成人一次1袋。一日2次。小儿酌减。,http://www.zhongyoo.com//uploads/allimg/1909/1-1ZZ41GA9496.jpg
http://www.zhongyoo.com/zhongchengyao/ypfkfy_256.html,玉屏风口服液,黄芪600克、白术(炒)200克、防风200克,益气，固表，止汗。用于表虚不固，自汗恶风，面色咣白，或体虚易感风邪者。,口服。一次10毫升，一日3次。,http://www.zhongyoo.com//uploads/allimg/141207/1-14120H1435I56.jpg
http://www.zhongyoo.com/zhongchengyao/eyw_13302.html,二益丸,黑附子、肉桂、吴茱萸、蛇床子、肉豆蔻、砂仁、山柰、海螵蛸、橘红、木香、甘草、白芷、龙骨、当归、花椒、公丁香、细辛、母丁香、檀香、豆蔻、枯矾、朱砂,调经止带，温暧子宫。用于经脉不调，行经腹痛，瘀血痨症，下元虚寒，腰膝酸痛，赤白带下。,口服。每次服1～2丸，每日服2次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZQGQ542Z5.jpg
http://www.zhongyoo.com/zhongchengyao/ydp_6666.html,益胆片,郁金、金银花、白矾、甘草、硝石、滑石粉、玄参,行气散结，清热通淋。用于胆结石、肾结石、膀胱结石、阻塞性黄疸、胆囊炎等病见湿热蕴结之证者。,口服。一次3片，一日2次。,http://www.zhongyoo.com//uploads/allimg/1609/1-16092Q4423X10.jpg
http://www.zhongyoo.com/zhongchengyao/ngnkl_8862.html,尿感宁颗粒,海金沙藤、连钱草、凤尾草、葎草、紫花地丁,清热解毒，利尿通淋。用于膀胱湿热所致淋证，症见尿频、尿急、尿道涩痛、尿色偏黄、小便淋漓不尽等；急慢性尿路感染见上述证候者。,开水冲服。一次1袋，一日3～4次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161012110T63X.jpg
http://www.zhongyoo.com/zhongchengyao/jstp_7921.html,结石通片,广金钱草、海金沙草、石韦、白茅根、车前草、玉米须、茯苓、鸡骨草,利尿消炎，通淋镇痛，止血化石。用于泌尿系统感染、膀胱炎、肾炎水肿、尿路结石、血尿、淋沥混浊、尿道灼痛等。,口服。每次5片，每日3次。饭后温开水送服。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610091S230140.jpg
http://www.zhongyoo.com/zhongchengyao/lgp_13296.html,利肝片,金钱草、猪胆汁,清肝、利胆。用于急慢性传染性肝炎、胆囊炎以及肝脏分泌机能障碍等。,口服。一次2～4片，一日3次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZQ521425N63.jpg
http://www.zhongyoo.com/zhongchengyao/dsqp_7757.html,胆石清片,硝石、皂矾、牛胆汁、羊胆汁、大黄、芒硝、威灵仙、鸡内金、郁金、山楂,消石化积，清热利胆，行气止痛。用于胆囊结石。,口服，成人一次5～8片，一日3次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100914253D02.jpg
http://www.zhongyoo.com/zhongchengyao/dstjn_7756.html,胆石通胶囊,蒲公英、水线草、绵茵陈、广金钱草、溪黄草、枳壳、柴胡、大黄、黄芩、鹅胆干膏粉,清热利湿，利胆排石。用于肝胆湿热所致的胁痛、胆胀，症见右胁胀痛、痞满呕恶、尿黄口苦；胆石症、胆囊炎见上述证候者。,口服。一次4～6粒，一日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610091425511V.jpg
http://www.zhongyoo.com/zhongchengyao/ffdtp_13295.html,复方胆通片,胆通、溪黄草、茵陈、穿心莲、大黄,清热利胆，解痉止痛。用于急、慢性胆囊炎，胆管炎，胆囊、胆道结石合并感染，胆囊手术后综合症，胆道功能性疾患等。,口服。片剂：一次2片，一日3次,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZQ4215RJ27.jpg
http://www.zhongyoo.com/zhongchengyao/wjzdp_13294.html,乌军治胆片,乌梅、大黄、佛手、枳实、牛至、栀子、槟榔、姜黄、威灵仙、甘草,疏肝解郁，利胆排石，清里泄热，理气止痛。用于胆囊炎，胆道感染，胆道手术后综合症属肝胆湿热证者。,口服。一次4片，一日3次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZQ4213GHI.jpg
http://www.zhongyoo.com/zhongchengyao/wlw_13288.html,五淋丸,海金沙、川木通、栀子(姜制)、黄连、石韦(去毛)、茯苓皮、琥珀、地黄、白芍、川芎、当归、甘草,清热利湿，分清止淋。用于下焦湿热引起的尿频尿急，小便涩痛，浑浊不清。,口服。一次6克，一日2次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP91034243R.jpg
http://www.zhongyoo.com/zhongchengyao/qryhtj_13287.html,清热银花糖浆,山银花、菊花、白茅根、通草、大枣、甘草、绿茶叶,清热解毒，通利小便。用于温邪头痛，目赤口渴，湿热郁滞，小便不利等。,口服。一次20毫升，一日3次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP9101349491.jpg
http://www.zhongyoo.com/zhongchengyao/fqwlw_13286.html,分清五淋丸,木通、车前子(盐炒)、黄芩、茯苓、猪苓、黄柏、大黄、萹蓄、瞿麦、知母、泽泻、栀子、甘草、滑石,清热泻火，利尿通淋。用于湿热下注所致的淋症，症见小便黄赤、尿频尿急、尿道灼热涩痛。,口服。一次6克，一日2～3次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP91000454T.jpg
http://www.zhongyoo.com/zhongchengyao/syjrp_13282.html,肾炎解热片,白茅根、连翘、杏仁、大腹皮、蒲公英、泽泻、茯苓、桂枝、车前子、蝉蜕、赤小豆、生石膏、陈皮、荆芥,疏风解热，宣肺利水。用于风热犯肺所致的水肿，症见发热恶寒、头面浮肿、咽喉干痛、肢体痠痛、小便短赤，舌苔薄黄、脉浮数；急性肾炎见上述证候者。。,口服。一次3～5片，一日3次。10天为1个疗程，连用2～3个疗程。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZPQF542458.jpg
http://www.zhongyoo.com/zhongchengyao/ydyhj_13281.html,胰胆炎合剂,柴胡、黄芩、厚朴、大黄、枳实、蒲公英、赤芍、北败酱、法半夏、甘草,清泻肝胆湿热。用于急性胰腺炎，急性胆囊炎，也可用于慢性胰腺炎，慢性胆囊炎的急性发作。,口服。一次药液20毫升，冲服药粉1克，一日2次。慢性期服药量加倍，症状缓解后，根据大便情况酌减药粉服量，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZPQ64PEV.jpg
http://www.zhongyoo.com/zhongchengyao/xyldp_13280.html,消炎利胆片,穿心莲、溪黄草、苦木,清热，祛湿，利胆。用于急性胆囊炎，胆道炎。,口服。一次6片，一日3次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZPQ6242GW.jpg
http://www.zhongyoo.com/zhongchengyao/yslkl_13279.html,茵山莲颗粒,茵陈、半边莲、五味子、栀子、甘草、板蓝根,清热解毒利湿。用于慢性迁延性肝炎，慢性活动性肝炎，胆囊炎，胰腺炎，而见湿热蕴毒之症者。,开水冲服，一次3～9克，一日2次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZPPR21C62.jpg
http://www.zhongyoo.com/zhongchengyao/qgldkfy_13272.html,清肝利胆口服液,茵陈、山银花、栀子、厚朴、防己,清利肝胆湿热。主治纳呆、肋痛、疲倦乏力、尿黄、苔腻、脉弦肝郁气滞、肝胆湿热未清等症。,口服，一次20～30毫升，一日2次，10天为1个疗程。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP6144UU38.jpg
http://www.zhongyoo.com/zhongchengyao/jjwhckl_13271.html,金菊五花茶颗粒,金银花、槐花、野菊花、木棉花、甘草、葛花,清热利湿，凉血解毒，清肝明目。用于大肠湿热所致的泄泻、痔血以及肝热目赤，风热咽痛，口舌溃烂。,口服。成人一次10克，一日3次，空腹温开水冲服。7岁以上儿童服成人二分之一量，3～7岁服成人三分之一量。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP6114155B0.jpg
http://www.zhongyoo.com/zhongchengyao/jzqxw_13266.html,久芝清心丸,大黄、黄芩、桔梗、山、丁香、牛黄、麝香、冰片、朱砂、雄黄、薄荷脑,清热，泻火，通便。用于内热壅盛引起的头晕脑胀，口鼻生疮，咽喉肿痛，风火牙痛，耳聋耳肿，大便秘结。,口服。一次2丸，一日2次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP5213640L3.jpg
http://www.zhongyoo.com/zhongchengyao/lgw_13265.html,凉膈丸,连翘、栀子、黄芩、薄荷、大黄、芒硝、甘草、石膏、淡竹叶,消炎解热，消火凉隔。用于上焦热盛，咽喉不利，牙齿疼痛，大便秘结，小便赤黄。,口服。一次6克。一日2次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP5203S6420.jpg
http://www.zhongyoo.com/zhongchengyao/nhqrjn_13264.html,牛黄清热胶囊,牛黄、黄连、寒水石、玳瑁、冰片、琥珀粉、黄芩、栀子、郁金、水牛角浓缩粉、朱砂,清热镇惊。用于温邪入里引起的高烧痉厥，四肢抽动，烦躁不安，痰浊壅塞。,口服，一次5粒，一日2次，小儿酌减。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP51G9205c.jpg
http://www.zhongyoo.com/zhongchengyao/sqw_6134.html,上清丸,大黄、黄芩、黄柏(均酒炒)、栀子、连翘、防风、菊花、薄荷、川芎、白芷、荆芥、桔梗,清热散风，解毒，通便。用于头晕耳鸣，目赤，鼻窦炎，口舌生疮，牙龈肿痛，大便秘结。,口服。①水丸：成人一次6克；②大蜜丸：一次1丸，一日2～3次。7岁以上儿童一次3克，一日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161004212013561.jpg
http://www.zhongyoo.com/zhongchengyao/gmtrkl_13261.html,感冒退热颗粒,大青叶、板蓝根、连翘、拳参,清热解毒，疏风解表。用于上呼吸道感染、急性扁桃体炎，咽喉炎属外感风热、热毒壅盛证，症见发热、咽喉肿痛。,口服。成人一次1～2袋，一日2～3次，开水冲服。6岁以上儿童用成人二分之一袋，一日2次；6岁以下，一日2次，一次三分之一袋。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP4220613335.jpg
http://www.zhongyoo.com/zhongchengyao/blgc_8926.html,板蓝根茶,板蓝根,清热解毒，凉血利咽，消肿。用于热毒壅盛之咽喉肿痛、扁桃腺炎、腮腺炎见上述证候者。,开水冲服，一次1块，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161021130Z0235.jpg
http://www.zhongyoo.com/zhongchengyao/ffshkfy_13258.html,复方双花口服液,金银花、连翘、穿心莲、板蓝根,清热解毒，利咽消肿。用于风热外感、风热乳蛾。症见发热，微恶风，头痛，鼻塞流涕，咽红而痛或咽喉干燥灼痛，吞咽则加剧，咽扁桃体红肿，舌边尖红苔薄黄或舌红苔黄，脉浮数或数。,口服，成人一次20毫升，一日4次。儿童3岁以下一次10毫升，一日3次；3～7岁，一次10毫升，一日4次；7岁以上一次20毫升，一日3次，疗程3天。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP3144454460.jpg
http://www.zhongyoo.com/zhongchengyao/lzxyjn_13255.html,莲芝消炎胶囊,穿心莲总内脂、山芝麻于浸膏,清热，解毒，消炎。用于肠胃炎，支气管炎，扁桃体炎，咽喉炎，肺炎等。,口服，一次1粒，一日3次。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP2154S3K2.jpg
http://www.zhongyoo.com/zhongchengyao/nhxlw_13254.html,牛黄西羚丸,牛黄、甘草、黄柏、羚羊角、白芍(酒炒)、茯苓、冰片、枳壳、苦杏仁(清炒)、雄黄、清半夏、当归、黄连、木通、栀子、瓜蒌、水牛角浓缩粉、黄芩、朱砂、陈皮、麝香、防风、麦冬、桔梗,"解热祛风，清心降火，宁志安神，舒气止嗽。用于心火上炎,头眩目赤，烦热口渴，痘疹火毒，牙龈肿痛。",口服。成人一次1丸，一日2次。小儿减半。,http://www.zhongyoo.com//uploads/allimg/1908/1-1ZP2153231232.jpg
http://www.zhongyoo.com/zhongchengyao/glexg_8798.html,龟鹿二仙膏,龟甲、鹿角、党参、枸杞子,益气血，补精髓。主治肾气虚衰之精血不足所致的眩晕耳鸣、视物昏花、肢体麻木、腰膝酸软、畏寒肢冷、手足麻木、阳痿、遗精、舌淡、苔白或少、脉沉无力等病证。,口服。每次15～20克，每日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16101210362E38.jpg
http://www.zhongyoo.com/zhongchengyao/nhqhw_13207.html,牛黄噙化丸,牛黄、麝香、冰片、黄连、硼砂、雄黄、绿豆粉、金果榄、柿霜,清热解毒，止痛。用于咽喉肿痛，口燥咽干，痰涎不出，咳嗽声哑。,随时噙化。一次1丸。,http://www.zhongyoo.com//uploads/allimg/1905/1-1Z5211IH39D.jpg
http://www.zhongyoo.com/zhongchengyao/wyghc_13170.html,万应甘和茶,藿香、紫苏、厚朴(姜炒)、苍术、白术、陈皮(制)、茯苓、泽泻、木瓜，甘草、砂仁、半夏(制)、苦杏仁、白扁豆、茶叶,芳香解表，燥湿和中，升清降浊。用于感冒发热，腹痛吐泻，暑湿泄泻。,口服。成人一次9克，一日2～3次，开水泡服。如感冒发热，另加、葱、紫苏叶少许，同煎服。,http://www.zhongyoo.com//uploads/allimg/1905/1-1Z5051R60T62.jpg
http://www.zhongyoo.com/zhongchengyao/shlkl_13198.html,双黄连颗粒,金银花、黄芩、连翘,疏风解表，清热解毒。用于外感风热所致的感冒，症见发热、咳嗽、咽痛。,开水冲服，一日3次，一次10克；小儿酌减或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1904/1-1Z4091100345b.jpg
http://www.zhongyoo.com/zhongchengyao/yhzsy_13197.html,银黄注射液,金银花提取物、黄芩苷,清热，解毒，利咽。用于风热犯肺而致发热、咳嗽，咽痛等症，上呼吸道感染，急性扁桃体炎，咽炎见上述证候者皆可用之。,肌内注射。一次1～2支，一日1～2次。,http://www.zhongyoo.com//uploads/allimg/1904/1-1Z4091054502a.jpg
http://www.zhongyoo.com/zhongchengyao/jlklgp_7487.html,菊蓝抗流感片,野菊花、板蓝根、人工牛黄、水牛角浓缩粉、乙酰水杨酸,清热解毒。用于流行性感冒、风热感冒、上呼吸道感染、急性扁桃体炎。,口服。一次4～6片，一日2次。温开水送服。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100R0331G56.jpg
http://www.zhongyoo.com/zhongchengyao/qgrzsy_13188.html,去感热注射液,石膏100克、芦竹根250克、青蒿250克、竹叶柴胡125克,清热解毒，发汗解表。用于上呼吸道感染引起的高热症。,肌内注射。一次2～4毫升，一日2～3次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1903/1-1Z30P95215K6.jpg
http://www.zhongyoo.com/zhongchengyao/sqkfy_6605.html,双清口服液,温郁金、金银花、连翘、广藿香、知母、大青叶、生地黄、桔梗、甘草、石膏、蜂蜜、山梨酸钾,清透表邪，清热解毒。用于风温肺热、卫气同病，风热感冒，症见发热兼微恶风寒、口渴、咳嗽、痰黄、头痛，舌红苔黄或兼白、脉滑数或浮数，以及急性支气管炎见上述证候者。,口服。一次2支，一日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161006220QE01.jpg
http://www.zhongyoo.com/zhongchengyao/kgkl_13187.html,抗感颗粒,金银花、赤芍、绵马贯众,清热解毒。用于外感风热引起的感冒，症见发热，头痛，鼻塞，喷嚏，咽痛，全身乏力、酸痛。,开水冲服，一次10克，一日3次，小儿酌减或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1903/1-1Z30P93050230.jpg
http://www.zhongyoo.com/zhongchengyao/qwjdw_8255.html,清瘟解毒丸,葛根、柴胡、羌活、白芷、防风、川芎、黄芩、大青叶、牛蒡子(炒)、连翘、赤芍、玄参、天花粉、桔梗、淡竹叶、甘草,清瘟解毒。用于外感时疫，憎寒壮热，头痛无汗，口渴咽干，痄腮，大头瘟。,口服。成人一次l～2丸，一日3次；7岁以上小儿服成人二分之一量；3～7岁服成人三分之一量,http://www.zhongyoo.com//uploads/allimg/1610/2-1610101QT42D.jpg
http://www.zhongyoo.com/zhongchengyao/csxfw_13184.html,参苏宣肺丸,前胡、紫苏叶、法半夏、人参、茯苓、桔梗、陈皮、枳壳、木香、甘草、葛根,解表散寒，宣肺化痰。用于痰湿，感冒风寒引起的头痛鼻塞周身不适，咳嗽痰多，胸膈满闷，气逆恶心。,口服。每次服6克，一日2次，姜汤或温开水送服。,http://www.zhongyoo.com//uploads/allimg/1903/1-1Z304134IND.jpg
http://www.zhongyoo.com/zhongchengyao/jfbdw_6841.html,荆防败毒丸,防风、荆芥、赤茯苓、羌活、独活、川芎、柴胡(去头)、薄荷、前胡、桔梗(去芦)、枳壳、党参(去芦)、甘草,清热散风，解毒消肿。用于流行性感冒，恶寒发热，头痛咳嗽，瘟毒发颐。,口服。一次1袋，一日2次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100GZI2X7.jpg
http://www.zhongyoo.com/zhongchengyao/xjsqw_7104.html,芎菊上清丸,羌活、川芎、白芷、菊花、连翘、蔓荆子(微炒)、薄荷、防风、荆芥穗、藁本、黄芩、黄连、栀子、桔梗、甘草,清热解表，散风止痛。用于外感风邪引起的恶风身热，偏正头痛，鼻流清涕，牙疼喉痛。,口服。每服6克，一日2次；体虚者及小孩酌减。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100H2130C45.jpg
http://www.zhongyoo.com/zhongchengyao/wsbw_13183.html,卫生宝丸,柴胡、黄芩、玄参、天花粉、麦冬、竹茹、僵蚕(麸炒)、荆芥穗、薄荷、桔梗、紫苏叶、苦杏仁(去皮炒)、六神曲(麸炒)、甘草、朱砂粉、羚羊角粉、水牛角浓缩粉、冰片、雄黄粉,疏风解表，润肺化痰。用于外感风寒，内有蕴热而致的怕冷发烧，四肢酸懒，头疼目眩，咳嗽痰多，口渴咽干。,口服。一次2丸，一日2次；小儿一次1丸或0.5丸。,http://www.zhongyoo.com//uploads/allimg/1903/1-1Z3031A13YF.jpg
http://www.zhongyoo.com/zhongchengyao/chkfy_7985.html,柴黄口服液,柴胡、黄芩,清热解表。用于感冒引起的发热、周身不适、头痛目眩、咽喉肿痛。,口服。一次10毫升，一日3次，或遵医嘱。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009204A4961.jpg
http://www.zhongyoo.com/zhongchengyao/chzsy_7982.html,柴胡注射液,柴胡。经水蒸气蒸馏制成的灭菌水溶液,清热解表。用于治疗感冒、流行性感冒及疟疾等的发热。,肌内注射。一日1～2次，成人首次用4毫升，以后一次2毫升。儿童一次1～1.5毫升。,http://www.zhongyoo.com//uploads/allimg/1610/2-161009204K13C.jpg
http://www.zhongyoo.com/zhongchengyao/xchtw_6230.html,小柴胡汤丸,柴胡、黄芩、党参、制半夏、甘草、生姜、大枣,和解表里。用于寒热往来，胸肋苦满，心烦喜呕，食欲不振，口苦咽干，头晕目眩。,口服。成人每次服24丸(9克)，一日2～3次；7岁以上儿童服成人二分之一量。,http://www.zhongyoo.com//uploads/allimg/1610/2-161005101241R9.jpg
http://www.zhongyoo.com/zhongchengyao/sygmkl_6397.html,少阳感冒颗粒,北柴胡、青蒿、黄芩、半夏、生晒参、生姜、大枣、甘草,扶正解表，清热和中。用于寒热往来、口苦咽干、头晕目眩、不思饮食、心烦恶心。,口服。一次1～2袋，一日3次，开水冲服。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100515520B55.jpg
http://www.zhongyoo.com/zhongchengyao/jyhl_9049.html,金银花露,金银花,清热解毒。用于暑热口渴，疮疖，小儿胎毒。,口服。一次60～120毫升，一日2～3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-161012155H2236.jpg
http://www.zhongyoo.com/zhongchengyao/wjw_6323.html,无极丸,甘草、石膏、滑石粉、糯米(蒸熟)、薄荷脑、冰片、丁香、砂仁、白豆蔻、肉桂、牛黄、人造香,清热祛暑，避秽止呕。用于中暑受热、呕吐恶心、身热烦倦，头目眩晕、伤酒伤食、消化不良、水土不服、晕车晕船。,口服。一次10～20粒，小儿酌减。,http://www.zhongyoo.com//uploads/allimg/1902/1-1Z222100951F7.jpg
http://www.zhongyoo.com/zhongchengyao/qls_13178.html,青六散,六一散(滑石、甘草)、红曲(炒),化温热，利小便。用于湿热泄泻，小便短赤。,口服。一次9克，一日1～2次，布袋包煎。,http://www.zhongyoo.com//uploads/allimg/1902/1-1Z222095120522.jpg
http://www.zhongyoo.com/zhongchengyao/msw_7490.html,梅苏丸,乌梅、薄荷叶、紫苏叶、豆蔻、葛根、柿霜、檀香,清热解暑，生津止渴。用于中暑风热，头昏目眩，口干舌燥，津液不足。,口服或含化。一次30丸，一日3次。,http://www.zhongyoo.com//uploads/allimg/1610/2-16100QR400W5.jpg
http://www.zhongyoo.com/zhongchengyao/qlfskl_13176.html,清凉防暑颗粒,白茅根、芦根、淡竹叶、牛筋草、滑石(飞)、甘草,清热祛暑，利尿生津。用于暑热，身热，口干，溲赤和预防中暑。,口服。一次10克，一日3次。,http://www.zhongyoo.com//uploads/allimg/1902/1-1Z2210T643248.jpg
http://www.zhongyoo.com/zhongchengyao/srgmkl_8322.html,暑热感冒颗粒,香薷、连翘、菊花、荷叶、丝瓜络、佩兰、知母、生石膏、北沙参、竹茹、竹叶,祛暑解表，清热生津。用于感冒病暑热症候，证见发热重，恶寒轻，汗出热不退，心烦口渴，溲赤、苔黄、脉数等。,口服。成年人一次服1～2袋，小儿酌减，一日3次，温开水送服。,http://www.zhongyoo.com//uploads/allimg/1610/2-1610111AHI15.jpg
http://www.zhongyoo.com/zhongchengyao/zshsw_13175.html,周氏回生丸,檀香、木香、沉香、公丁香、麝香、冰片，雄黄、山慈菇、红大戟、千金子霜、六神曲、朱砂、五倍子、甘草,祛暑散寒，解毒辟秽，化湿止痛。用于寒霍乱，干霍乱，痧胀。,口服。一次10粒，一日2次，姜水或温开水送服。,http://www.zhongyoo.com//uploads/allimg/1902/1-1Z2210Q130A8.jpg
